Ux,Uy,Uz,TA_1_1_1,T_SONIC_corr,PA,H2O_density,CO2_density
-0.3424504,0.8834507,-0.01116111,-12.20392,-11.00644,83.73144,1.463477,701.5432
-0.3557441,0.8831368,-0.01668161,-12.20392,-10.97864,83.73213,1.457409,701.1563
-0.3310676,0.8724249,-0.009928506,-12.20392,-10.99847,83.73229,1.464277,701.1921
-0.345913,0.8859405,-0.01507792,-12.20392,-10.99033,83.73232,1.460008,701.0871
-0.3532787,0.8909537,-0.01779748,-12.20392,-11.00995,83.73232,1.461807,701.1626
-0.3662871,0.8945758,-0.01927543,-12.20392,-11.00616,83.73149,1.45714,701.3505
-0.3586783,0.8882017,-0.01719087,-12.20392,-11.09521,83.73129,1.4551,701.2144
-0.3576637,0.8919761,-0.0155799,-12.20392,-11.12167,83.73016,1.452289,701.6482
-0.3529694,0.885816,-0.01599399,-12.20392,-11.14639,83.73097,1.4482,701.6407
-0.3728005,0.9045413,-0.01979228,-12.20392,-11.12994,83.73206,1.45318,701.7128
-0.3596257,0.8953943,-0.01968225,-12.20392,-11.14645,83.72943,1.452849,701.4975
-0.3578344,0.9030796,-0.0199574,-12.20355,-11.1008,83.73267,1.456821,701.7154
-0.3380001,0.8875139,-0.01573971,-12.20355,-11.12326,83.73127,1.456101,701.7422
-0.3296619,0.8859621,-0.01225708,-12.20355,-11.04062,83.73288,1.455642,701.4887
-0.3421484,0.8901763,-0.01699838,-12.20355,-11.05823,83.73002,1.455739,701.5783
-0.3459791,0.8909383,-0.01782405,-12.20355,-11.07849,83.73253,1.452895,701.4572
-0.3550677,0.896141,-0.01979547,-12.20355,-11.02676,83.73253,1.455987,701.8504
-0.3607199,0.8951319,-0.0222415,-12.20355,-11.09851,83.7326,1.454273,701.7016
-0.3611963,0.9005871,-0.02039542,-12.20355,-11.10843,83.73063,1.45137,701.952
-0.3450271,0.8833601,-0.01778673,-12.20355,-11.21561,83.73193,1.447737,702.0123
-0.348111,0.8959532,-0.01471135,-12.20355,-11.198,83.73227,1.448063,702.3399
-0.3558547,0.8943652,-0.01914458,-12.20355,-11.22778,83.73162,1.443578,702.171
-0.3519461,0.9008955,-0.01555715,-12.20355,-11.22372,83.72983,1.442287,702.4763
-0.3827526,0.9061691,-0.02631439,-12.20355,-11.28018,83.73239,1.441752,702.5742
-0.358523,0.8883796,-0.0201045,-12.20355,-11.27664,83.73108,1.439196,702.5329
-0.3644579,0.8966112,-0.01965708,-12.20355,-11.34061,83.73286,1.440394,702.7398
-0.3529254,0.8905073,-0.01824482,-12.20355,-11.27722,83.73087,1.437085,702.4055
-0.3552137,0.9003081,-0.01619429,-12.20355,-11.34186,83.73125,1.439977,702.764
-0.3656294,0.8960478,-0.02003969,-12.20355,-11.35056,83.73222,1.437911,702.6533
-0.3790958,0.9123634,-0.01734264,-12.20355,-11.29312,83.73112,1.43675,702.8063
-0.3753602,0.8998044,-0.01498951,-12.20355,-11.39188,83.73243,1.436869,703.0211
-0.3723854,0.9002733,-0.0107182,-12.20276,-11.3089,83.73266,1.437259,702.993
-0.3717026,0.8911155,-0.01326848,-12.20276,-11.28503,83.73202,1.437128,702.9604
-0.3704069,0.8888326,-0.01566676,-12.20276,-11.30771,83.73176,1.440635,702.9504
-0.3527164,0.8835576,-0.01040152,-12.20276,-11.25342,83.73018,1.444564,702.6554
-0.3601261,0.8862256,-0.01588294,-12.20276,-11.20749,83.73144,1.444311,702.3695
-0.3645619,0.8994662,-0.01530015,-12.20276,-11.11145,83.73046,1.451387,702.1427
-0.3505401,0.8772707,-0.01723467,-12.20276,-11.15002,83.73049,1.449488,701.8632
-0.3583604,0.8972118,-0.01695677,-12.20276,-11.13608,83.7334,1.453636,702.0231
-0.3559721,0.8854719,-0.02003087,-12.20276,-11.0499,83.73145,1.452736,701.7507
-0.3488962,0.8884583,-0.01781029,-12.20276,-10.99954,83.73248,1.457103,701.5681
-0.3430254,0.8743781,-0.01986692,-12.20276,-11.05167,83.73281,1.453591,701.7299
-0.352675,0.8904532,-0.02189747,-12.20276,-11.05432,83.73099,1.45445,701.535
-0.3570636,0.8871654,-0.02533296,-12.20276,-11.05502,83.73173,1.459946,701.7994
-0.3633374,0.8909144,-0.02754011,-12.20276,-11.0127,83.73197,1.453797,701.5114
-0.3618115,0.8905222,-0.02729546,-12.20276,-11.08868,83.73168,1.456331,702.0739
-0.3576846,0.8895327,-0.02778267,-12.20276,-11.10239,83.7299,1.449647,701.8097
-0.3495148,0.8873561,-0.02484983,-12.20276,-11.15085,83.7331,1.452873,702.094
-0.3500381,0.8781952,-0.02766712,-12.20276,-11.12534,83.72911,1.451464,701.7015
-0.3554784,0.8848624,-0.02825644,-12.20276,-11.15543,83.72964,1.451631,702.3053
